SME_ID,Timestamp,Credit_Score,Risk_Label,SHAP_Top3,Confidence,True_Label,Predicted
SME_00027,2026-06-10T05:56:03.795801,0.0195,Critical,"{""repayment_delay_days"": -1.6855, ""existing_debt_ratio"": -1.1607, ""net_profit_margin"": -0.9148}",0.961,0,0
SME_00028,2026-06-10T05:56:03.795801,0.0099,Critical,"{""repayment_delay_days"": -1.5397, ""existing_debt_ratio"": -1.2306, ""net_profit_margin"": -0.9425}",0.9801,0,0
SME_00029,2026-06-10T05:56:03.795801,0.9743,Normal,"{""document_completeness_score"": 0.9699, ""net_profit_margin"": 0.7468, ""repayment_delay_days"": 0.7149}",0.9485,1,1
SME_00030,2026-06-10T05:56:03.795801,0.0052,Critical,"{""repayment_delay_days"": -1.5269, ""existing_debt_ratio"": -0.9982, ""net_profit_margin"": -0.9852}",0.9896,0,0
SME_00031,2026-06-10T05:56:03.795801,0.7738,Normal,"{""bank_statement_consistency"": 0.8596, ""repayment_delay_days"": 0.5333, ""existing_debt_ratio"": 0.4504}",0.5476,1,1
SME_00032,2026-06-10T05:56:03.795801,0.9586,Normal,"{""document_completeness_score"": 1.1399, ""bank_statement_consistency"": 0.9447, ""repayment_delay_days"": 0.5472}",0.9172,1,1
SME_00033,2026-06-10T05:56:03.795801,0.6955,Normal,"{""net_profit_margin"": 1.1452, ""repayment_delay_days"": -0.7165, ""existing_debt_ratio"": 0.5336}",0.3909,1,1
SME_00034,2026-06-10T05:56:03.795801,0.3215,Critical,"{""existing_debt_ratio"": -1.2789, ""repayment_delay_days"": 0.8766, ""bank_statement_consistency"": -0.4839}",0.357,0,0
SME_00035,2026-06-10T05:56:03.795801,0.9406,Normal,"{""bank_statement_consistency"": 0.8515, ""net_profit_margin"": 0.7174, ""repayment_delay_days"": 0.5405}",0.8813,1,1
SME_00036,2026-06-10T05:56:03.795801,0.2501,Critical,"{""existing_debt_ratio"": -1.3925, ""document_completeness_score"": 1.3624, ""net_profit_margin"": -0.8044}",0.4997,0,0
SME_00037,2026-06-10T05:56:03.795801,0.9735,Normal,"{""net_profit_margin"": 0.8875, ""repayment_delay_days"": 0.7531, ""cash_flow_stability"": 0.5661}",0.947,1,1
SME_00038,2026-06-10T05:56:03.795801,0.8582,Normal,"{""repayment_delay_days"": 0.7312, ""net_profit_margin"": 0.6603, ""previously_raised_fund"": -0.5313}",0.7165,1,1
SME_00039,2026-06-10T05:56:03.795801,0.9408,Normal,"{""bank_statement_consistency"": 1.1813, ""repayment_delay_days"": 0.5437, ""existing_debt_ratio"": 0.53}",0.8817,1,1
SME_00040,2026-06-10T05:56:03.795801,0.9553,Normal,"{""net_profit_margin"": 0.9243, ""repayment_delay_days"": 0.8353, ""existing_debt_ratio"": 0.4679}",0.9107,1,1
SME_00041,2026-06-10T05:56:03.795801,0.7164,Normal,"{""cash_flow_stability"": 0.3709, ""repayment_delay_days"": 0.2871, ""existing_debt_ratio"": 0.2746}",0.4328,1,1
SME_00042,2026-06-10T05:56:03.795801,0.8882,Normal,"{""bank_statement_consistency"": 0.9359, ""net_profit_margin"": 0.6948, ""repayment_delay_days"": 0.5908}",0.7763,1,1
SME_00043,2026-06-10T05:56:03.795801,0.1431,Critical,"{""document_completeness_score"": -0.9563, ""repayment_delay_days"": -0.6029, ""bank_statement_consistency"": -0.5834}",0.7137,0,0
SME_00044,2026-06-10T05:56:03.795801,0.0115,Critical,"{""repayment_delay_days"": -1.6676, ""existing_debt_ratio"": -1.0257, ""net_profit_margin"": -0.9428}",0.9771,0,0
SME_00045,2026-06-10T05:56:03.795801,0.7528,Normal,"{""existing_debt_ratio"": 0.7228, ""repayment_delay_days"": 0.5169, ""bank_statement_consistency"": 0.5122}",0.5056,1,1
SME_00046,2026-06-10T05:56:03.795801,0.0111,Critical,"{""repayment_delay_days"": -1.7273, ""existing_debt_ratio"": -1.2175, ""net_profit_margin"": -0.9886}",0.9777,0,0
SME_00047,2026-06-10T05:56:03.795801,0.8646,Normal,"{""net_profit_margin"": 0.8906, ""existing_debt_ratio"": 0.4961, ""previously_raised_fund"": -0.494}",0.7292,1,1
SME_00048,2026-06-10T05:56:03.795801,0.5675,Warning,"{""net_profit_margin"": -0.7551, ""repayment_delay_days"": 0.6399, ""bank_statement_consistency"": -0.5198}",0.135,1,1
SME_00049,2026-06-10T05:56:03.795801,0.0631,Critical,"{""repayment_delay_days"": -1.5714, ""net_profit_margin"": -0.8604, ""cash_flow_stability"": -0.6787}",0.8739,0,0
SME_00050,2026-06-10T05:56:03.795801,0.9094,Normal,"{""existing_debt_ratio"": 0.7318, ""repayment_delay_days"": 0.5531, ""bank_statement_consistency"": 0.4005}",0.8188,1,1
SME_00051,2026-06-10T05:56:03.795801,0.011,Critical,"{""repayment_delay_days"": -1.7355, ""existing_debt_ratio"": -1.2616, ""document_completeness_score"": -0.6522}",0.978,0,0
SME_00052,2026-06-10T05:56:03.795801,0.0116,Critical,"{""repayment_delay_days"": -1.7403, ""existing_debt_ratio"": -1.0347, ""net_profit_margin"": -0.898}",0.9768,0,0
SME_00053,2026-06-10T05:56:03.795801,0.9716,Normal,"{""document_completeness_score"": 1.1083, ""bank_statement_consistency"": 0.7527, ""repayment_delay_days"": 0.6401}",0.9431,1,1
SME_00054,2026-06-10T05:56:03.795801,0.0126,Critical,"{""repayment_delay_days"": -1.5711, ""existing_debt_ratio"": -1.1149, ""net_profit_margin"": -1.0751}",0.9748,0,0
SME_00055,2026-06-10T05:56:03.795801,0.9638,Normal,"{""document_completeness_score"": 1.2081, ""repayment_delay_days"": 0.7099, ""net_profit_margin"": 0.6265}",0.9276,1,1
SME_00056,2026-06-10T05:56:03.795801,0.9894,Normal,"{""document_completeness_score"": 1.1887, ""bank_statement_consistency"": 1.0065, ""repayment_delay_days"": 0.7327}",0.9788,1,1
SME_00057,2026-06-10T05:56:03.795801,0.0702,Critical,"{""document_completeness_score"": -0.9656, ""repayment_delay_days"": -0.919, ""bank_statement_consistency"": -0.71}",0.8595,0,0
SME_00058,2026-06-10T05:56:03.795801,0.9289,Normal,"{""repayment_delay_days"": 0.6993, ""bank_statement_consistency"": 0.3608, ""existing_debt_ratio"": 0.3524}",0.8578,1,1
SME_00059,2026-06-10T05:56:03.795801,0.5956,Warning,"{""bank_statement_consistency"": 1.0717, ""repayment_delay_days"": 0.7853, ""existing_debt_ratio"": 0.4532}",0.1912,1,1
SME_00060,2026-06-10T05:56:03.795801,0.9587,Normal,"{""repayment_delay_days"": 0.7895, ""cash_flow_stability"": 0.5029, ""bank_statement_consistency"": 0.426}",0.9173,1,1
SME_00061,2026-06-10T05:56:03.795801,0.0081,Critical,"{""repayment_delay_days"": -1.1858, ""net_profit_margin"": -1.0979, ""existing_debt_ratio"": -1.0635}",0.9838,0,0
SME_00062,2026-06-10T05:56:03.795801,0.8874,Normal,"{""bank_statement_consistency"": 1.0079, ""repayment_delay_days"": 0.7848, ""existing_debt_ratio"": -0.6584}",0.7747,1,1
SME_00063,2026-06-10T05:56:03.795801,0.5288,Warning,"{""document_completeness_score"": -1.1694, ""repayment_delay_days"": 0.7153, ""net_profit_margin"": 0.6679}",0.0576,0,1
SME_00064,2026-06-10T05:56:03.795801,0.9063,Normal,"{""net_profit_margin"": 0.9868, ""document_completeness_score"": -0.839, ""repayment_delay_days"": 0.6977}",0.8126,1,1
SME_00065,2026-06-10T05:56:03.795801,0.823,Normal,"{""bank_statement_consistency"": -0.947, ""repayment_delay_days"": 0.7509, ""cash_flow_stability"": 0.5213}",0.6459,1,1
SME_00066,2026-06-10T05:56:03.795801,0.8163,Normal,"{""net_profit_margin"": 0.6228, ""repayment_delay_days"": 0.5984, ""document_completeness_score"": -0.5694}",0.6325,0,1
SME_00067,2026-06-10T05:56:03.795801,0.9434,Normal,"{""document_completeness_score"": 1.2993, ""net_profit_margin"": 0.661, ""repayment_delay_days"": 0.527}",0.8869,1,1
SME_00068,2026-06-10T05:56:03.795801,0.0078,Critical,"{""repayment_delay_days"": -1.6685, ""existing_debt_ratio"": -1.1089, ""net_profit_margin"": -0.9247}",0.9844,0,0
SME_00069,2026-06-10T05:56:03.795801,0.0829,Critical,"{""net_profit_margin"": -1.07, ""repayment_delay_days"": -1.0299, ""bank_statement_consistency"": -0.7083}",0.8342,0,0
SME_00070,2026-06-10T05:56:03.795801,0.848,Normal,"{""net_profit_margin"": 0.8715, ""previously_raised_fund"": -0.6563, ""repayment_delay_days"": 0.6546}",0.6961,1,1
SME_00071,2026-06-10T05:56:03.795801,0.0212,Critical,"{""repayment_delay_days"": -1.8416, ""existing_debt_ratio"": -1.1816, ""net_profit_margin"": -1.0564}",0.9575,0,0
SME_00072,2026-06-10T05:56:03.795801,0.8066,Normal,"{""document_completeness_score"": 1.1735, ""repayment_delay_days"": -1.0456, ""net_profit_margin"": 1.0304}",0.6133,1,1
SME_00073,2026-06-10T05:56:03.795801,0.3684,Critical,"{""document_completeness_score"": -0.9965, ""bank_statement_consistency"": -0.8718, ""repayment_delay_days"": 0.6684}",0.2631,1,0
SME_00074,2026-06-10T05:56:03.795801,0.7516,Normal,"{""bank_statement_consistency"": 0.9587, ""net_profit_margin"": -0.8284, ""repayment_delay_days"": 0.7107}",0.5032,1,1
SME_00075,2026-06-10T05:56:03.795801,0.9677,Normal,"{""document_completeness_score"": 1.251, ""net_profit_margin"": 0.7208, ""repayment_delay_days"": 0.6865}",0.9355,1,1
SME_00076,2026-06-10T05:56:03.795801,0.0053,Critical,"{""repayment_delay_days"": -1.5138, ""existing_debt_ratio"": -1.0004, ""net_profit_margin"": -0.9464}",0.9895,0,0
SME_00077,2026-06-10T05:56:03.795801,0.9584,Normal,"{""net_profit_margin"": 1.0607, ""document_completeness_score"": 0.6918, ""existing_debt_ratio"": 0.4677}",0.9168,1,1
SME_00078,2026-06-10T05:56:03.795801,0.0057,Critical,"{""repayment_delay_days"": -1.5657, ""existing_debt_ratio"": -1.1363, ""net_profit_margin"": -1.0371}",0.9886,0,0
SME_00079,2026-06-10T05:56:03.795801,0.9915,Normal,"{""document_completeness_score"": 1.067, ""bank_statement_consistency"": 0.7914, ""net_profit_margin"": 0.7573}",0.983,1,1
SME_00080,2026-06-10T05:56:03.795801,0.2505,Critical,"{""existing_debt_ratio"": -1.4575, ""repayment_delay_days"": -0.964, ""cash_flow_stability"": 0.7123}",0.499,0,0
SME_00081,2026-06-10T05:56:03.795801,0.9639,Normal,"{""bank_statement_consistency"": 0.9418, ""net_profit_margin"": 0.7956, ""repayment_delay_days"": 0.6937}",0.9277,1,1
SME_00082,2026-06-10T05:56:03.795801,0.8801,Normal,"{""net_profit_margin"": 0.8486, ""repayment_delay_days"": 0.6745, ""cash_flow_stability"": 0.4596}",0.7601,1,1
SME_00083,2026-06-10T05:56:03.795801,0.0054,Critical,"{""repayment_delay_days"": -1.5523, ""existing_debt_ratio"": -1.0868, ""net_profit_margin"": -1.0427}",0.9892,0,0
SME_00084,2026-06-10T05:56:03.795801,0.0291,Critical,"{""repayment_delay_days"": -1.5846, ""existing_debt_ratio"": -1.3873, ""cash_flow_stability"": -0.4818}",0.9419,0,0
SME_00085,2026-06-10T05:56:03.795801,0.0047,Critical,"{""repayment_delay_days"": -1.5184, ""existing_debt_ratio"": -1.0549, ""net_profit_margin"": -1.0034}",0.9907,0,0
SME_00086,2026-06-10T05:56:03.795801,0.9818,Normal,"{""document_completeness_score"": 1.2013, ""bank_statement_consistency"": 1.1405, ""repayment_delay_days"": 0.5635}",0.9637,1,1
SME_00087,2026-06-10T05:56:03.795801,0.0061,Critical,"{""repayment_delay_days"": -1.5606, ""existing_debt_ratio"": -1.1121, ""net_profit_margin"": -0.9482}",0.9878,0,0
SME_00088,2026-06-10T05:56:03.795801,0.7374,Normal,"{""net_profit_margin"": 0.747, ""repayment_delay_days"": 0.5542, ""cash_flow_stability"": 0.4846}",0.4748,1,1
SME_00089,2026-06-10T05:56:03.795801,0.9777,Normal,"{""document_completeness_score"": 1.0967, ""bank_statement_consistency"": 1.0608, ""repayment_delay_days"": 0.568}",0.9553,1,1
SME_00090,2026-06-10T05:56:03.795801,0.8195,Normal,"{""existing_debt_ratio"": -1.5421, ""document_completeness_score"": 1.2388, ""bank_statement_consistency"": 0.9504}",0.6391,1,1
SME_00091,2026-06-10T05:56:03.795801,0.0048,Critical,"{""repayment_delay_days"": -1.5244, ""existing_debt_ratio"": -1.0077, ""net_profit_margin"": -0.9648}",0.9904,0,0
SME_00092,2026-06-10T05:56:03.795801,0.2113,Critical,"{""repayment_delay_days"": -0.8784, ""net_profit_margin"": -0.8552, ""existing_debt_ratio"": 0.7366}",0.5773,0,0
SME_00093,2026-06-10T05:56:03.795801,0.3942,Critical,"{""repayment_delay_days"": -1.3641, ""net_profit_margin"": 0.4826, ""bank_statement_consistency"": 0.4635}",0.2116,1,0
SME_00094,2026-06-10T05:56:03.795801,0.7835,Normal,"{""document_completeness_score"": -1.0956, ""net_profit_margin"": 0.8624, ""repayment_delay_days"": 0.6713}",0.567,1,1
SME_00095,2026-06-10T05:56:03.795801,0.0097,Critical,"{""repayment_delay_days"": -1.7648, ""existing_debt_ratio"": -1.1599, ""net_profit_margin"": -0.9651}",0.9807,0,0
SME_00096,2026-06-10T05:56:03.795801,0.2156,Critical,"{""repayment_delay_days"": -1.86, ""net_profit_margin"": 0.8989, ""bank_statement_consistency"": 0.7086}",0.5688,1,0
SME_00097,2026-06-10T05:56:03.795801,0.738,Normal,"{""repayment_delay_days"": 0.6229, ""cash_flow_stability"": 0.3426, ""bank_statement_consistency"": 0.3264}",0.4761,1,1
SME_00098,2026-06-10T05:56:03.795801,0.0077,Critical,"{""repayment_delay_days"": -1.6516, ""existing_debt_ratio"": -1.1018, ""net_profit_margin"": -0.9042}",0.9847,0,0
SME_00099,2026-06-10T05:56:03.795801,0.0053,Critical,"{""repayment_delay_days"": -1.5437, ""existing_debt_ratio"": -1.0089, ""net_profit_margin"": -0.9878}",0.9893,0,0
SME_00100,2026-06-10T05:56:03.795801,0.9878,Normal,"{""bank_statement_consistency"": 0.8577, ""net_profit_margin"": 0.8072, ""repayment_delay_days"": 0.7499}",0.9757,1,1
SME_00101,2026-06-10T05:56:03.795801,0.9798,Normal,"{""document_completeness_score"": 1.5156, ""bank_statement_consistency"": 0.8865, ""repayment_delay_days"": 0.6651}",0.9596,1,1
SME_00102,2026-06-10T05:56:03.795801,0.909,Normal,"{""document_completeness_score"": 0.9475, ""existing_debt_ratio"": 0.6735, ""repayment_delay_days"": 0.4667}",0.818,1,1
SME_00103,2026-06-10T05:56:03.795801,0.3192,Critical,"{""document_completeness_score"": -1.1543, ""previously_raised_fund"": -0.6314, ""repayment_delay_days"": 0.5369}",0.3615,0,0
SME_00104,2026-06-10T05:56:03.795801,0.9865,Normal,"{""document_completeness_score"": 1.3671, ""bank_statement_consistency"": 0.9706, ""repayment_delay_days"": 0.7019}",0.973,1,1
SME_00105,2026-06-10T05:56:03.795801,0.7993,Normal,"{""net_profit_margin"": 0.695, ""repayment_delay_days"": 0.6488, ""previously_raised_fund"": -0.5204}",0.5986,1,1
SME_00106,2026-06-10T05:56:03.795801,0.0052,Critical,"{""repayment_delay_days"": -1.5825, ""existing_debt_ratio"": -1.028, ""net_profit_margin"": -0.9915}",0.9897,0,0
SME_00107,2026-06-10T05:56:03.795801,0.7506,Normal,"{""document_completeness_score"": -1.3696, ""repayment_delay_days"": 0.5813, ""bank_statement_consistency"": 0.4814}",0.5011,1,1
SME_00108,2026-06-10T05:56:03.795801,0.9846,Normal,"{""bank_statement_consistency"": 0.8072, ""net_profit_margin"": 0.8049, ""repayment_delay_days"": 0.7811}",0.9692,1,1
SME_00109,2026-06-10T05:56:03.795801,0.0057,Critical,"{""repayment_delay_days"": -1.5662, ""existing_debt_ratio"": -1.072, ""net_profit_margin"": -1.024}",0.9886,0,0
SME_00110,2026-06-10T05:56:03.795801,0.0053,Critical,"{""repayment_delay_days"": -1.5122, ""existing_debt_ratio"": -0.9995, ""net_profit_margin"": -0.9521}",0.9895,0,0
SME_00111,2026-06-10T05:56:03.795801,0.9553,Normal,"{""repayment_delay_days"": 0.7108, ""document_completeness_score"": 0.4161, ""cash_flow_stability"": 0.341}",0.9107,1,1
SME_00112,2026-06-10T05:56:03.795801,0.0945,Critical,"{""existing_debt_ratio"": -1.2834, ""document_completeness_score"": 1.2421, ""net_profit_margin"": -0.9435}",0.811,0,0
SME_00113,2026-06-10T05:56:03.795801,0.7174,Normal,"{""document_completeness_score"": -0.8172, ""net_profit_margin"": 0.6128, ""repayment_delay_days"": 0.5754}",0.4347,1,1
SME_00114,2026-06-10T05:56:03.795801,0.0047,Critical,"{""repayment_delay_days"": -1.5146, ""existing_debt_ratio"": -1.0663, ""net_profit_margin"": -0.987}",0.9907,0,0
SME_00115,2026-06-10T05:56:03.795801,0.8868,Normal,"{""net_profit_margin"": 1.1368, ""previously_raised_fund"": -0.6029, ""repayment_delay_days"": 0.5669}",0.7736,1,1
SME_00116,2026-06-10T05:56:03.795801,0.9657,Normal,"{""document_completeness_score"": 1.6289, ""bank_statement_consistency"": 0.8739, ""repayment_delay_days"": 0.669}",0.9315,1,1
SME_00117,2026-06-10T05:56:03.795801,0.8504,Normal,"{""net_profit_margin"": 1.0283, ""bank_statement_consistency"": -0.8062, ""cash_flow_stability"": 0.6137}",0.7008,1,1
SME_00118,2026-06-10T05:56:03.795801,0.5953,Warning,"{""bank_statement_consistency"": -1.098, ""repayment_delay_days"": 0.6584, ""cash_flow_stability"": 0.3245}",0.1905,1,1
SME_00119,2026-06-10T05:56:03.795801,0.9765,Normal,"{""document_completeness_score"": 1.347, ""bank_statement_consistency"": 0.8082, ""repayment_delay_days"": 0.5309}",0.9531,1,1
SME_00120,2026-06-10T05:56:03.795801,0.8475,Normal,"{""net_profit_margin"": 1.1356, ""bank_statement_consistency"": -0.7676, ""repayment_delay_days"": 0.6906}",0.6951,1,1
SME_00121,2026-06-10T05:56:03.795801,0.9859,Normal,"{""net_profit_margin"": 0.8572, ""bank_statement_consistency"": 0.8224, ""repayment_delay_days"": 0.7394}",0.9718,1,1
SME_00122,2026-06-10T05:56:03.795801,0.6551,Normal,"{""bank_statement_consistency"": -0.6676, ""repayment_delay_days"": 0.6569, ""cash_flow_stability"": 0.4003}",0.3102,0,1
SME_00123,2026-06-10T05:56:03.795801,0.8468,Normal,"{""repayment_delay_days"": 0.653, ""cash_flow_stability"": 0.4817, ""monthly_expense"": -0.3957}",0.6935,1,1
SME_00124,2026-06-10T05:56:03.795801,0.9745,Normal,"{""document_completeness_score"": 1.2662, ""bank_statement_consistency"": 0.9807, ""net_profit_margin"": 0.6167}",0.949,1,1
SME_00125,2026-06-10T05:56:03.795801,0.0061,Critical,"{""repayment_delay_days"": -1.5652, ""existing_debt_ratio"": -1.12, ""net_profit_margin"": -0.9794}",0.9879,0,0
SME_00126,2026-06-10T05:56:03.795801,0.9703,Normal,"{""bank_statement_consistency"": 0.7377, ""repayment_delay_days"": 0.663, ""cash_flow_stability"": 0.4736}",0.9406,1,1
SME_00127,2026-06-10T05:56:03.795801,0.1947,Critical,"{""document_completeness_score"": 1.3357, ""repayment_delay_days"": -1.2412, ""net_profit_margin"": -0.9648}",0.6106,0,0
SME_00128,2026-06-10T05:56:03.795801,0.037,Critical,"{""existing_debt_ratio"": -1.4709, ""repayment_delay_days"": -0.7764, ""bank_statement_consistency"": -0.7431}",0.926,0,0
SME_00129,2026-06-10T05:56:03.795801,0.0098,Critical,"{""repayment_delay_days"": -1.828, ""existing_debt_ratio"": -1.2859, ""net_profit_margin"": -1.0055}",0.9803,0,0
SME_00130,2026-06-10T05:56:03.795801,0.8927,Normal,"{""bank_statement_consistency"": 1.113, ""existing_debt_ratio"": 0.6406, ""repayment_delay_days"": 0.4922}",0.7854,1,1
SME_00131,2026-06-10T05:56:03.795801,0.9879,Normal,"{""document_completeness_score"": 1.3132, ""bank_statement_consistency"": 0.902, ""net_profit_margin"": 0.7393}",0.9759,1,1
SME_00132,2026-06-10T05:56:03.795801,0.5379,Warning,"{""repayment_delay_days"": -1.6436, ""document_completeness_score"": 1.3742, ""net_profit_margin"": -0.7796}",0.0759,0,1
SME_00133,2026-06-10T05:56:03.795801,0.9886,Normal,"{""document_completeness_score"": 1.2286, ""net_profit_margin"": 0.8264, ""repayment_delay_days"": 0.7511}",0.9773,1,1
SME_00134,2026-06-10T05:56:03.795801,0.0198,Critical,"{""repayment_delay_days"": -1.7388, ""net_profit_margin"": -1.0822, ""document_completeness_score"": -0.7175}",0.9604,0,0
SME_00135,2026-06-10T05:56:03.795801,0.1536,Critical,"{""repayment_delay_days"": -1.7028, ""net_profit_margin"": -0.9479, ""existing_debt_ratio"": 0.6885}",0.6927,0,0
SME_00136,2026-06-10T05:56:03.795801,0.0053,Critical,"{""repayment_delay_days"": -1.5138, ""existing_debt_ratio"": -1.0004, ""net_profit_margin"": -0.9464}",0.9895,0,0
SME_00137,2026-06-10T05:56:03.795801,0.8457,Normal,"{""existing_debt_ratio"": -1.3607, ""document_completeness_score"": 1.1764, ""net_profit_margin"": 0.7341}",0.6913,1,1
SME_00138,2026-06-10T05:56:03.795801,0.0057,Critical,"{""repayment_delay_days"": -1.5687, ""existing_debt_ratio"": -1.0341, ""net_profit_margin"": -0.96}",0.9886,0,0
SME_00139,2026-06-10T05:56:03.795801,0.9051,Normal,"{""repayment_delay_days"": 0.6793, ""existing_debt_ratio"": 0.4684, ""net_profit_margin"": 0.3936}",0.8103,1,1
SME_00140,2026-06-10T05:56:03.795801,0.5752,Warning,"{""net_profit_margin"": 0.9291, ""repayment_delay_days"": -0.9119, ""cash_flow_stability"": 0.4761}",0.1504,1,1
SME_00141,2026-06-10T05:56:03.795801,0.9685,Normal,"{""document_completeness_score"": 1.1044, ""repayment_delay_days"": 0.6822, ""cash_flow_stability"": 0.4753}",0.937,1,1
SME_00142,2026-06-10T05:56:03.795801,0.7493,Normal,"{""existing_debt_ratio"": -1.3411, ""repayment_delay_days"": 0.7375, ""bank_statement_consistency"": 0.6369}",0.4985,1,1
SME_00143,2026-06-10T05:56:03.795801,0.0124,Critical,"{""repayment_delay_days"": -1.7092, ""existing_debt_ratio"": -1.1778, ""net_profit_margin"": -0.9793}",0.9752,0,0
SME_00144,2026-06-10T05:56:03.795801,0.4141,Warning,"{""net_profit_margin"": 0.8414, ""bank_statement_consistency"": -0.7771, ""cash_flow_stability"": 0.6217}",0.1718,1,0
SME_00145,2026-06-10T05:56:03.795801,0.9813,Normal,"{""document_completeness_score"": 1.0476, ""bank_statement_consistency"": 0.8479, ""repayment_delay_days"": 0.5212}",0.9626,1,1
