SME_ID,Month,Predicted_Revenue,Lower_Bound,Upper_Bound
SME_00761,2026-08,125503.64,120240.97,130627.32
SME_00761,2026-09,150523.89,142956.59,158149.19
SME_00761,2026-10,167312.72,157476.97,176866.21
SME_00761,2026-11,173651.53,162164.87,185205.8
SME_00761,2026-12,176584.94,163211.52,190250.19
SME_00761,2027-01,188677.67,172764.94,204802.96
SME_00457,2026-02,54486.42,54357.18,54611.8
SME_00457,2026-03,54927.32,54533.99,55317.7
SME_00457,2026-04,73533.39,72535.92,74547.82
SME_00457,2026-05,57356.4,56156.61,58601.55
SME_00457,2026-06,47993.68,46467.91,49424.5
SME_00457,2026-07,47820.92,45852.85,49706.96
SME_00457,2026-08,66734.86,63324.46,69973.71
SME_00457,2026-09,60030.71,56396.74,63601.95
SME_00457,2026-10,53083.11,49330.66,56751.71
SME_00457,2026-11,52703.86,48448.31,56916.35
SME_00457,2026-12,66295.78,60153.41,72321.27
SME_00457,2027-01,36278.67,32540.4,40070.66
SME_00066,2026-02,97435.98,97258.67,97615.21
SME_00066,2026-03,106941.15,106314.34,107584.59
SME_00066,2026-04,96916.77,95828.39,98035.35
SME_00066,2026-05,80893.91,79499.73,82294.12
SME_00066,2026-06,103202.52,100716.33,105691.25
SME_00066,2026-07,91904.06,88949.85,94720.57
SME_00066,2026-08,71070.72,68190.61,73814.82
SME_00066,2026-09,95920.02,91116.42,100537.21
SME_00066,2026-10,109063.6,102656.28,115469.49
SME_00066,2026-11,77104.06,71843.73,82310.29
SME_00066,2026-12,103429.81,95451.76,111570.13
SME_00066,2027-01,106982.89,97463.71,116522.2
SME_00287,2026-02,59342.19,59249.28,59448.1
SME_00287,2026-03,62554.58,62229.94,62906.1
SME_00287,2026-04,54539.1,53976.69,55180.2
SME_00287,2026-05,58045.07,57126.54,59158.38
SME_00287,2026-06,44124.88,43119.79,45360.03
SME_00287,2026-07,62185.76,60272.33,64567.86
SME_00287,2026-08,41535.62,39857.0,43568.91
SME_00287,2026-09,35624.16,33800.25,37744.68
SME_00287,2026-10,63173.03,59142.72,67650.87
SME_00287,2026-11,60182.55,55649.1,65153.96
SME_00287,2026-12,45172.58,41139.51,49693.18
SME_00287,2027-01,57638.37,51746.75,64136.57
SME_00636,2026-02,144296.67,144200.25,144395.79
SME_00636,2026-03,196832.41,196451.15,197249.63
SME_00636,2026-04,116659.91,116234.42,117135.6
SME_00636,2026-05,131629.41,130854.55,132477.7
SME_00636,2026-06,133054.74,131953.69,134241.04
SME_00636,2026-07,149422.22,147795.73,151223.53
SME_00636,2026-08,133561.34,131720.53,135526.28
SME_00636,2026-09,129276.51,127044.89,131680.54
SME_00636,2026-10,160666.41,157307.74,164212.72
SME_00636,2026-11,128199.14,125091.59,131551.57
SME_00636,2026-12,124238.91,120715.72,127972.29
SME_00636,2027-01,150268.15,145350.45,155399.98
SME_00068,2026-02,41230.58,41094.8,41365.17
SME_00068,2026-03,42162.49,41715.45,42616.08
SME_00068,2026-04,38956.67,38118.26,39775.03
SME_00068,2026-05,32926.38,31789.9,34050.38
SME_00068,2026-06,30683.77,29153.29,32185.45
SME_00068,2026-07,37592.47,35000.81,40008.25
SME_00068,2026-08,32472.4,29614.49,35292.59
SME_00068,2026-09,19261.18,17076.28,21359.84
SME_00068,2026-10,43642.11,37827.99,49382.11
SME_00068,2026-11,34304.61,28691.57,39776.93
SME_00068,2026-12,23547.88,18995.12,28025.12
SME_00068,2027-01,32285.87,25100.63,39468.67
SME_00328,2026-02,87985.2,87940.26,88028.89
SME_00328,2026-03,77308.67,77184.1,77430.52
SME_00328,2026-04,96586.83,96284.35,96892.21
SME_00328,2026-05,64574.83,64261.61,64893.37
SME_00328,2026-06,94137.68,93488.68,94782.66
SME_00328,2026-07,54384.57,53901.37,54875.49
SME_00328,2026-08,74585.71,73738.58,75456.17
SME_00328,2026-09,80240.71,79129.89,81358.3
SME_00328,2026-10,91928.03,90469.88,93480.23
SME_00328,2026-11,66127.81,64912.38,67405.92
SME_00328,2026-12,90825.23,88956.91,92826.13
SME_00328,2027-01,88381.58,86358.94,90636.49
SME_00396,2026-02,35222.87,35165.32,35277.61
SME_00396,2026-03,31962.99,31806.18,32116.12
SME_00396,2026-04,48465.52,48016.31,48890.16
SME_00396,2026-05,24712.56,24359.11,25026.9
SME_00396,2026-06,34189.44,33529.7,34813.59
SME_00396,2026-07,37358.67,36437.04,38242.29
SME_00396,2026-08,38046.28,36906.67,39193.42
SME_00396,2026-09,30753.12,29647.41,31870.76
SME_00396,2026-10,48042.02,46036.91,50103.24
SME_00396,2026-11,36666.55,34919.33,38469.31
SME_00396,2026-12,46293.18,43859.34,48913.74
SME_00396,2027-01,35787.65,33665.8,38086.66
SME_00245,2026-02,189093.09,188790.85,189325.71
SME_00245,2026-03,204528.57,203517.5,205328.46
SME_00245,2026-04,201676.49,199812.22,203341.74
SME_00245,2026-05,177387.92,174850.46,179713.77
SME_00245,2026-06,195894.95,192115.95,199406.65
SME_00245,2026-07,173392.5,169109.51,177516.87
SME_00245,2026-08,201932.41,195686.46,208148.48
SME_00245,2026-09,149782.42,144032.92,155404.13
SME_00245,2026-10,182594.5,174543.37,190798.72
SME_00245,2026-11,176474.77,167501.91,185462.73
SME_00245,2026-12,203672.46,191865.09,215490.6
SME_00245,2027-01,174487.66,163191.38,185621.55
SME_00378,2026-02,57131.09,57046.29,57214.03
SME_00378,2026-03,63702.33,63394.74,64007.54
SME_00378,2026-04,68421.43,67814.35,69041.08
SME_00378,2026-05,63279.43,62418.48,64162.51
SME_00378,2026-06,52480.04,51456.36,53524.79
SME_00378,2026-07,49743.3,48434.88,51042.34
SME_00378,2026-08,40275.38,38910.0,41545.53
SME_00378,2026-09,85271.75,81681.62,88585.46
SME_00378,2026-10,48534.74,46098.98,50888.56
SME_00378,2026-11,52649.34,49552.76,55662.44
SME_00378,2026-12,78852.18,73666.91,84104.47
SME_00378,2027-01,55893.79,51672.91,60054.66
SME_00611,2026-02,52093.89,51957.48,52228.89
SME_00611,2026-03,68529.12,67920.5,69152.12
SME_00611,2026-04,40918.08,40169.33,41649.69
SME_00611,2026-05,66080.11,64308.01,68035.82
SME_00611,2026-06,28298.82,27173.92,29510.6
SME_00611,2026-07,40139.96,37890.99,42438.39
SME_00611,2026-08,49867.36,46201.78,53458.82
SME_00611,2026-09,37455.59,34039.99,40839.15
SME_00611,2026-10,46865.97,41838.74,51958.12
SME_00611,2026-11,44483.34,38784.04,50157.57
SME_00611,2026-12,38876.67,32828.86,44701.89
SME_00611,2027-01,45362.4,36945.88,53314.76
SME_00527,2026-02,58070.0,58020.76,58114.57
SME_00527,2026-03,51767.67,51627.51,51906.82
SME_00527,2026-04,50735.26,50463.52,50995.59
SME_00527,2026-05,37854.34,37535.35,38162.38
SME_00527,2026-06,38710.73,38253.91,39161.63
SME_00527,2026-07,58148.13,57238.31,59035.68
SME_00527,2026-08,44150.49,43262.39,45039.93
SME_00527,2026-09,32990.71,32175.12,33842.52
SME_00527,2026-10,38074.98,36954.42,39264.14
SME_00527,2026-11,47401.29,45756.62,49132.11
SME_00527,2026-12,40737.65,39077.43,42490.95
SME_00527,2027-01,55978.72,53392.41,58700.78
SME_00659,2026-02,77052.6,76588.76,77532.22
SME_00659,2026-03,81747.15,80132.84,83326.24
SME_00659,2026-04,75230.92,72368.58,77895.77
SME_00659,2026-05,106527.8,100281.92,112325.52
SME_00659,2026-06,71022.09,65214.34,76305.8
SME_00659,2026-07,92082.56,82013.99,100916.5
SME_00659,2026-08,107598.96,93079.09,120500.29
SME_00659,2026-09,75466.06,63174.9,86255.86
SME_00659,2026-10,67057.86,54253.08,78357.16
SME_00659,2026-11,101230.56,79858.72,120828.33
SME_00659,2026-12,86727.86,66255.97,105911.55
SME_00659,2027-01,118864.47,88231.03,148852.14
SME_00530,2026-02,114999.96,114885.12,115109.41
SME_00530,2026-03,109813.46,109461.92,110146.16
SME_00530,2026-04,133730.53,132890.13,134531.08
SME_00530,2026-05,113839.57,112696.06,114987.97
SME_00530,2026-06,108157.6,106639.58,109744.51
SME_00530,2026-07,96709.57,94924.3,98641.86
SME_00530,2026-08,85899.28,83930.43,88046.55
SME_00530,2026-09,141192.23,137182.32,145509.02
SME_00530,2026-10,82900.03,79946.55,85885.42
SME_00530,2026-11,117025.7,112101.48,121992.92
SME_00530,2026-12,121870.58,115986.55,127698.02
SME_00530,2027-01,123925.56,117181.86,130682.26
SME_00623,2026-02,138970.39,138563.92,139386.88
SME_00623,2026-03,139440.39,138156.34,140763.95
SME_00623,2026-04,136143.69,133677.87,138744.59
SME_00623,2026-05,173557.4,168478.85,179176.66
SME_00623,2026-06,167026.5,160014.33,174733.07
SME_00623,2026-07,105893.73,100068.27,112394.34
SME_00623,2026-08,108344.23,100661.24,116749.11
SME_00623,2026-09,120025.76,109349.4,131734.42
SME_00623,2026-10,133033.24,118846.24,148911.1
SME_00623,2026-11,123389.3,107290.29,141129.07
SME_00623,2026-12,131980.65,111727.79,154339.88
SME_00623,2027-01,126751.48,104197.88,150909.79
SME_00722,2026-02,106813.1,106752.86,106872.18
SME_00722,2026-03,153893.17,153614.35,154166.41
SME_00722,2026-04,68421.16,68182.9,68659.24
SME_00722,2026-05,123776.58,123129.97,124456.67
SME_00722,2026-06,156243.24,155077.39,157462.42
SME_00722,2026-07,104134.08,103114.95,105211.93
SME_00722,2026-08,83419.74,82416.04,84543.58
SME_00722,2026-09,126919.41,125029.75,129024.4
SME_00722,2026-10,93695.95,92023.87,95511.44
SME_00722,2026-11,111615.31,109210.8,114161.5
SME_00722,2026-12,133795.92,130435.74,137409.83
SME_00722,2027-01,100480.15,97547.43,103483.73
SME_00361,2026-02,106084.29,105870.98,106329.0
SME_00361,2026-03,74842.26,74350.28,75395.23
SME_00361,2026-04,107643.06,106171.1,109058.86
SME_00361,2026-05,101634.82,99476.99,103793.81
SME_00361,2026-06,127785.14,124076.08,131489.22
SME_00361,2026-07,85492.0,82221.45,88803.59
SME_00361,2026-08,92526.65,88114.36,97054.96
SME_00361,2026-09,76816.86,72383.63,81403.31
SME_00361,2026-10,119362.15,111315.93,127934.57
SME_00361,2026-11,85807.69,78987.4,92954.38
SME_00361,2026-12,91408.12,83373.96,100115.78
SME_00361,2027-01,132285.61,119183.41,146624.16
SME_00031,2026-02,140962.86,140762.14,141242.76
SME_00031,2026-03,150081.5,149380.85,150939.94
SME_00031,2026-04,123782.56,122627.18,125079.07
SME_00031,2026-05,129852.45,128043.12,131820.58
SME_00031,2026-06,149768.98,146830.75,153025.99
SME_00031,2026-07,135798.85,132316.21,139568.22
SME_00031,2026-08,101756.59,98516.29,105257.96
SME_00031,2026-09,152007.98,146115.3,158309.78
SME_00031,2026-10,123073.55,117297.49,129228.43
SME_00031,2026-11,131722.32,124521.8,139711.45
SME_00031,2026-12,179116.13,167841.08,191191.93
SME_00031,2027-01,131897.36,122265.64,142000.33
SME_00261,2026-02,66331.99,65834.43,66835.43
SME_00261,2026-03,57010.48,55554.77,58417.61
SME_00261,2026-04,44072.95,41796.62,46341.81
SME_00261,2026-05,55809.51,50936.07,60595.29
SME_00261,2026-06,43201.15,37550.89,48974.24
SME_00261,2026-07,39760.06,32311.44,47363.33
SME_00261,2026-08,29226.39,21318.56,36850.42
SME_00261,2026-09,34513.53,22029.79,46400.58
SME_00261,2026-10,28231.19,14823.62,41296.95
SME_00261,2026-11,18576.23,6752.94,29711.29
SME_00261,2026-12,29409.61,4172.39,52502.46
SME_00261,2027-01,29845.48,0.0,60765.1
SME_00638,2026-02,78610.7,78373.46,78876.81
SME_00638,2026-03,91158.66,90233.87,92137.02
SME_00638,2026-04,78834.13,77308.04,80552.3
SME_00638,2026-05,73194.5,70909.62,75635.65
SME_00638,2026-06,71377.56,68108.43,74751.66
SME_00638,2026-07,60435.94,56576.67,64283.8
SME_00638,2026-08,53794.11,49358.16,58239.45
SME_00638,2026-09,67822.89,60658.32,74830.31
SME_00638,2026-10,86209.0,74938.36,97145.21
SME_00638,2026-11,60137.26,50442.9,69454.73
SME_00638,2026-12,79130.68,63826.56,93734.74
SME_00638,2027-01,57967.01,44679.23,70731.0
SME_00747,2026-02,71726.92,71577.18,71886.21
SME_00747,2026-03,87973.81,87377.08,88590.25
SME_00747,2026-04,74626.6,73696.7,75569.37
SME_00747,2026-05,82798.29,81181.89,84509.52
SME_00747,2026-06,57966.44,56367.58,59629.05
SME_00747,2026-07,80955.57,77927.44,83994.09
SME_00747,2026-08,73091.56,69665.07,76470.38
SME_00747,2026-09,83823.55,79135.67,88485.08
SME_00747,2026-10,85737.33,80165.93,91491.26
SME_00747,2026-11,61246.71,56512.72,65911.16
SME_00747,2026-12,101479.43,92687.14,110136.85
SME_00747,2027-01,73721.3,66618.11,80656.77
SME_00571,2026-02,21071.63,21010.76,21133.67
SME_00571,2026-03,25232.22,24986.31,25493.75
SME_00571,2026-04,16219.65,15897.2,16555.33
SME_00571,2026-05,21682.08,20990.44,22390.57
SME_00571,2026-06,19841.24,18926.29,20765.76
SME_00571,2026-07,16638.61,15608.14,17672.99
SME_00571,2026-08,20965.84,19339.45,22646.86
SME_00571,2026-09,15521.52,13965.0,17127.99
SME_00571,2026-10,13829.05,12107.18,15557.57
SME_00571,2026-11,16231.99,13842.5,18636.2
SME_00571,2026-12,16643.78,13773.28,19603.29
SME_00571,2027-01,21475.48,17175.55,25900.33
