businessID,anomalyFlag,riskScore,defaultProbability
SME_00342,0,32.17,0.3217
SME_00343,0,27.98,0.27980000000000005
SME_00344,0,14.12,0.1412
SME_00345,0,31.16,0.3116
SME_00346,1,6.09,0.060899999999999954
SME_00347,1,49.79,0.4979
SME_00348,0,32.51,0.32509999999999994
SME_00349,0,52.07,0.5206999999999999
SME_00350,0,33.21,0.33209999999999995
SME_00351,0,66.61,0.6661
SME_00352,0,35.57,0.3557
SME_00353,0,34.32,0.34319999999999995
SME_00354,0,45.72,0.45720000000000005
SME_00355,0,34.62,0.34619999999999995
SME_00356,0,20.7,0.20699999999999996
SME_00357,0,18.5,0.18500000000000005
SME_00358,1,5.66,0.056599999999999984
SME_00359,0,40.03,0.4003
SME_00360,0,65.2,0.652
SME_00361,0,31.19,0.31189999999999996
SME_00362,0,27.48,0.27480000000000004
SME_00363,0,16.41,0.16410000000000002
SME_00364,1,65.71,0.6571
SME_00365,0,47.23,0.47230000000000005
SME_00366,0,32.46,0.3246
SME_00367,1,15.14,0.15139999999999998
SME_00368,0,21.34,0.21340000000000003
SME_00369,0,32.56,0.3256
SME_00370,0,32.71,0.32709999999999995
SME_00371,1,7.69,0.07689999999999997
SME_00372,0,44.41,0.44410000000000005
SME_00373,0,56.06,0.5606
SME_00374,0,76.54,0.7654
SME_00375,0,42.58,0.42579999999999996
SME_00376,0,47.37,0.4737
SME_00377,0,52.88,0.5287999999999999
SME_00378,0,42.77,0.42769999999999997
SME_00379,0,24.94,0.24939999999999996
SME_00380,1,22.31,0.22309999999999997
SME_00381,0,39.94,0.3994
SME_00382,1,76.8,0.768
SME_00383,1,23.06,0.23060000000000003
SME_00384,0,28.51,0.2851
SME_00385,0,17.57,0.17569999999999997
SME_00386,0,45.32,0.45320000000000005
SME_00387,0,37.29,0.3729
SME_00388,0,48.12,0.48119999999999996
SME_00389,0,38.74,0.38739999999999997
SME_00390,0,51.06,0.5105999999999999
SME_00391,0,41.32,0.4132
SME_00392,0,53.81,0.5381
SME_00393,0,27.27,0.27270000000000005
SME_00394,0,30.84,0.3084
SME_00395,0,42.77,0.42769999999999997
SME_00396,0,28.02,0.2802
SME_00397,0,27.14,0.2714
SME_00398,0,48.92,0.48919999999999997
SME_00399,0,36.81,0.3681
SME_00400,0,29.97,0.29969999999999997
SME_00401,0,26.78,0.26780000000000004
SME_00402,1,58.4,0.5840000000000001
SME_00403,0,36.33,0.36329999999999996
SME_00404,0,29.86,0.2986
SME_00405,0,61.19,0.6119
SME_00406,1,71.84,0.7183999999999999
SME_00407,0,34.9,0.349
SME_00408,0,8.32,0.08320000000000005
SME_00409,0,33.38,0.3338
SME_00410,0,22.16,0.22160000000000002
SME_00411,0,40.17,0.40169999999999995
SME_00412,1,32.64,0.3264
SME_00413,1,21.77,0.2177
SME_00414,0,38.79,0.3879
SME_00415,0,32.27,0.3227
SME_00416,0,24.54,0.24539999999999995
SME_00417,1,66.07,0.6607000000000001
SME_00418,1,12.3,0.123
SME_00419,0,14.89,0.14890000000000003
SME_00420,0,38.28,0.38280000000000003
SME_00421,0,34.21,0.34209999999999996
SME_00422,0,42.57,0.42569999999999997
SME_00423,0,22.56,0.22560000000000002
SME_00424,1,71.53,0.7153
SME_00425,1,60.48,0.6048
SME_00426,0,22.2,0.22199999999999998
SME_00427,0,46.25,0.4625
SME_00428,1,16.37,0.16369999999999996
SME_00429,1,51.78,0.5178
SME_00430,1,20.51,0.20509999999999995
SME_00431,1,61.64,0.6164000000000001
SME_00432,0,10.32,0.10319999999999996
SME_00433,0,37.9,0.379
SME_00434,0,16.01,0.16010000000000002
SME_00435,1,43.26,0.4326
SME_00436,1,11.37,0.11370000000000002
SME_00437,1,73.28,0.7328
SME_00438,1,46.86,0.4686
SME_00439,1,39.8,0.398
SME_00440,0,47.57,0.4757
SME_00441,0,46.12,0.46120000000000005
SME_00442,0,34.93,0.34930000000000005
SME_00443,0,38.31,0.3831
SME_00444,0,41.19,0.41190000000000004
SME_00445,0,26.38,0.26380000000000003
SME_00446,1,18.66,0.1866
SME_00447,0,59.0,0.5900000000000001
SME_00448,1,40.75,0.4075
SME_00449,0,21.51,0.21509999999999996
SME_00450,0,32.0,0.31999999999999995
SME_00451,0,28.63,0.2863
SME_00452,1,65.13,0.6513
SME_00453,0,38.41,0.3841
SME_00454,0,22.25,0.22250000000000003
SME_00455,0,36.31,0.3631
SME_00456,0,21.31,0.21309999999999996
SME_00457,0,43.11,0.43110000000000004
SME_00458,1,24.6,0.246
SME_00459,0,31.35,0.3135
SME_00460,0,51.26,0.5126
SME_00461,0,47.06,0.4706
SME_00462,0,37.29,0.3729
SME_00463,0,57.78,0.5778
SME_00464,0,22.02,0.22019999999999995
SME_00465,0,14.71,0.1471
SME_00466,0,24.76,0.24760000000000004
SME_00467,0,13.62,0.1362
SME_00468,0,24.46,0.24460000000000004
SME_00469,0,30.62,0.3062
SME_00470,0,56.48,0.5648
SME_00471,0,26.24,0.26239999999999997
SME_00472,1,76.81,0.7681
SME_00473,0,24.02,0.24019999999999997
SME_00474,0,23.06,0.23060000000000003
SME_00475,1,51.73,0.5173
SME_00476,0,39.8,0.398
SME_00477,0,41.5,0.41500000000000004
SME_00478,1,37.97,0.37970000000000004
SME_00479,0,28.14,0.2814
SME_00480,1,51.99,0.5199
SME_00481,0,57.16,0.5716
SME_00482,0,38.45,0.38449999999999995
SME_00483,0,31.6,0.31599999999999995
SME_00484,0,23.4,0.23399999999999999
SME_00485,0,32.2,0.32199999999999995
SME_00486,0,47.68,0.4768
SME_00487,0,36.14,0.36140000000000005
SME_00488,0,37.39,0.3739
SME_00489,1,63.18,0.6317999999999999
SME_00490,1,53.86,0.5386
SME_00491,0,23.76,0.23760000000000003
SME_00492,0,22.59,0.2259
SME_00493,0,37.03,0.37029999999999996
SME_00494,0,57.97,0.5797
SME_00495,0,33.55,0.3355
SME_00496,0,23.87,0.23870000000000002
SME_00497,1,41.16,0.41159999999999997
SME_00498,0,36.38,0.3638
SME_00499,0,45.61,0.45609999999999995
SME_00500,0,31.93,0.31930000000000003
SME_00501,0,24.12,0.24119999999999997
SME_00502,0,52.1,0.521
SME_00503,0,63.61,0.6361
SME_00504,0,50.54,0.5054000000000001
SME_00505,0,43.77,0.4377
SME_00506,0,32.58,0.3258
SME_00507,0,27.63,0.2763
SME_00508,1,23.39,0.2339
SME_00509,1,60.63,0.6063000000000001
SME_00510,0,10.11,0.10109999999999997
SME_00511,0,43.24,0.4324
SME_00512,0,28.99,0.28990000000000005
SME_00513,0,41.42,0.4142
SME_00514,0,34.1,0.34099999999999997
SME_00515,0,51.1,0.511
SME_00516,0,34.06,0.3406
SME_00517,0,41.84,0.4184
SME_00518,1,12.66,0.12660000000000005
SME_00519,0,42.01,0.42010000000000003
SME_00520,1,13.41,0.1341
SME_00521,1,61.24,0.6124
SME_00522,0,31.15,0.3115
SME_00523,0,50.08,0.5008
SME_00524,0,38.3,0.383
SME_00525,0,53.53,0.5353
SME_00526,0,33.21,0.33209999999999995
SME_00527,1,55.28,0.5528
SME_00528,0,46.57,0.4657
SME_00529,0,14.88,0.14880000000000004
SME_00530,0,48.09,0.4809
SME_00531,1,29.81,0.29810000000000003
SME_00532,0,18.32,0.18320000000000003
SME_00533,0,61.6,0.616
SME_00534,0,62.97,0.6296999999999999
SME_00535,1,50.06,0.5005999999999999
SME_00536,0,48.67,0.4867
SME_00537,0,46.89,0.4689
SME_00538,0,68.81,0.6880999999999999
SME_00539,0,53.63,0.5363
SME_00540,0,41.99,0.41990000000000005
SME_00541,1,66.23,0.6623
SME_00542,1,8.85,0.08850000000000002
SME_00543,0,6.67,0.06669999999999998
SME_00544,1,57.32,0.5731999999999999
SME_00545,1,67.48,0.6748000000000001
SME_00546,0,35.23,0.35229999999999995
SME_00547,0,40.68,0.40680000000000005
SME_00548,0,20.39,0.20389999999999997
SME_00549,0,20.15,0.2015
SME_00550,0,41.4,0.41400000000000003
SME_00551,1,16.35,0.16349999999999998
SME_00552,1,51.06,0.5105999999999999
SME_00553,0,31.09,0.31089999999999995
SME_00554,1,55.64,0.5564
SME_00555,0,31.79,0.31789999999999996
SME_00556,0,19.65,0.1965
SME_00557,0,47.03,0.47030000000000005
SME_00558,1,60.82,0.6082000000000001
SME_00559,0,22.84,0.22840000000000005
SME_00560,0,58.43,0.5843
SME_00561,0,54.42,0.5442
SME_00562,0,38.44,0.38439999999999996
SME_00563,1,22.84,0.22840000000000005
SME_00564,0,40.82,0.4082
SME_00565,0,34.12,0.34119999999999995
SME_00566,0,20.36,0.2036
SME_00567,1,8.29,0.08289999999999997
SME_00568,0,41.59,0.41590000000000005
SME_00569,1,45.86,0.4586
SME_00570,0,48.05,0.48050000000000004
SME_00571,0,37.18,0.3718
SME_00572,1,8.64,0.08640000000000003
SME_00573,0,36.56,0.36560000000000004
SME_00574,1,26.61,0.2661
SME_00575,0,30.73,0.3073
SME_00576,1,68.19,0.6819
SME_00577,1,58.55,0.5855
SME_00578,0,42.56,0.4256
SME_00579,0,41.86,0.41859999999999997
SME_00580,0,17.3,0.17300000000000004
SME_00581,0,47.75,0.47750000000000004
SME_00582,0,43.21,0.43210000000000004
SME_00583,0,61.75,0.6174999999999999
SME_00584,1,59.9,0.599
SME_00585,0,37.65,0.37649999999999995
SME_00586,0,55.76,0.5576
SME_00587,0,27.76,0.27759999999999996
SME_00588,0,40.23,0.4023
SME_00589,0,35.88,0.3588
SME_00590,1,38.72,0.3872
SME_00591,0,33.3,0.33299999999999996
SME_00592,1,62.49,0.6249
SME_00593,1,16.06,0.16059999999999997
SME_00594,0,23.6,0.236
SME_00595,0,62.12,0.6212
SME_00596,0,48.31,0.4831
SME_00597,0,32.71,0.32709999999999995
SME_00598,0,52.16,0.5216000000000001
SME_00599,0,37.07,0.37070000000000003
SME_00600,0,32.41,0.32410000000000005
SME_00601,0,35.19,0.3519
SME_00602,0,21.87,0.2187
SME_00603,0,57.49,0.5749
SME_00604,1,50.14,0.5014000000000001
SME_00605,0,48.98,0.4898
SME_00606,0,16.98,0.16979999999999995
SME_00607,0,44.03,0.4403
SME_00608,0,14.11,0.1411
SME_00609,1,15.94,0.1594
SME_00610,0,43.19,0.43189999999999995
SME_00611,0,62.6,0.626
SME_00612,0,55.53,0.5553
SME_00613,1,52.46,0.5246
SME_00614,0,62.27,0.6227
SME_00615,0,47.92,0.47919999999999996
SME_00616,0,22.78,0.2278
SME_00617,0,31.89,0.31889999999999996
SME_00618,0,22.55,0.22550000000000003
SME_00619,0,32.72,0.32720000000000005
SME_00620,0,45.56,0.4556
SME_00621,1,38.33,0.3833
SME_00622,0,26.85,0.26849999999999996
SME_00623,0,30.18,0.30179999999999996
SME_00624,0,20.08,0.20079999999999998
SME_00625,0,47.56,0.4756
SME_00626,1,50.45,0.5045
SME_00627,0,21.39,0.21389999999999998
SME_00628,0,47.47,0.4747
SME_00629,0,32.25,0.3225
SME_00630,0,16.95,0.16949999999999998
SME_00631,0,42.07,0.42069999999999996
SME_00632,1,6.83,0.06830000000000003
SME_00633,0,28.55,0.2855
SME_00634,0,49.85,0.49850000000000005
SME_00635,0,49.68,0.4968
SME_00636,0,20.85,0.20850000000000002
SME_00637,0,34.42,0.34419999999999995
SME_00638,0,25.55,0.25549999999999995
SME_00639,0,28.34,0.2834
SME_00640,1,40.05,0.40049999999999997
SME_00641,0,30.61,0.30610000000000004
SME_00642,1,10.26,0.10260000000000002
SME_00643,0,47.95,0.47950000000000004
SME_00644,0,12.13,0.12129999999999996
SME_00645,0,36.19,0.3619
SME_00646,0,35.51,0.35509999999999997
SME_00647,1,25.59,0.2559
SME_00648,0,36.38,0.3638
SME_00649,0,19.58,0.19579999999999997
SME_00650,0,30.86,0.3086
SME_00651,0,34.97,0.3497
SME_00652,0,46.43,0.46430000000000005
SME_00653,0,42.12,0.4212
SME_00654,1,11.89,0.1189
SME_00655,1,67.75,0.6775
SME_00656,0,32.84,0.3284
SME_00657,1,77.27,0.7726999999999999
SME_00658,0,36.35,0.36350000000000005
SME_00659,0,22.06,0.22060000000000002
SME_00660,0,28.68,0.28680000000000005
SME_00661,0,34.31,0.34309999999999996
SME_00662,0,44.52,0.44520000000000004
SME_00663,0,49.37,0.4937
SME_00664,0,19.53,0.19530000000000003
SME_00665,1,41.0,0.41000000000000003
SME_00666,0,37.74,0.37739999999999996
SME_00667,0,10.41,0.10409999999999997
SME_00668,0,55.6,0.556
SME_00669,0,50.0,0.5
SME_00670,0,48.15,0.48150000000000004
SME_00671,0,35.52,0.35519999999999996
SME_00672,0,36.67,0.3667
SME_00673,0,36.33,0.36329999999999996
SME_00674,0,23.96,0.23960000000000004
SME_00675,0,51.52,0.5152
SME_00676,0,38.07,0.38070000000000004
SME_00677,1,76.26,0.7626
SME_00678,0,44.93,0.44930000000000003
SME_00679,0,48.93,0.48929999999999996
SME_00680,0,34.95,0.34950000000000003
SME_00681,0,23.19,0.2319
SME_00682,1,31.99,0.31989999999999996
SME_00683,0,48.46,0.48460000000000003
SME_00684,0,44.77,0.4477
SME_00685,0,31.32,0.31320000000000003
SME_00686,0,59.14,0.5913999999999999
SME_00687,0,36.52,0.36519999999999997
SME_00688,1,70.2,0.702
SME_00689,1,20.2,0.20199999999999996
SME_00690,1,34.09,0.3409
SME_00691,0,28.87,0.28869999999999996
SME_00692,0,34.72,0.34719999999999995
SME_00693,0,29.51,0.29510000000000003
SME_00694,0,66.34,0.6634
SME_00695,0,47.32,0.47319999999999995
SME_00696,0,45.45,0.4545
SME_00697,0,24.5,0.245
SME_00698,0,47.52,0.47519999999999996
SME_00699,0,14.02,0.1402
SME_00700,0,24.36,0.24360000000000004
SME_00701,0,30.29,0.30289999999999995
SME_00702,0,56.17,0.5617
SME_00703,0,35.84,0.35840000000000005
SME_00704,0,46.29,0.4629
SME_00705,0,37.87,0.37870000000000004
SME_00706,0,50.84,0.5084
SME_00707,1,18.47,0.18469999999999998
SME_00708,1,26.8,0.268
SME_00709,1,55.56,0.5556
SME_00710,0,37.48,0.3748
SME_00711,0,47.47,0.4747
SME_00712,0,54.22,0.5422
SME_00713,1,10.11,0.10109999999999997
SME_00714,0,15.34,0.15339999999999998
SME_00715,0,38.0,0.38
SME_00716,1,41.72,0.4172
SME_00717,1,21.61,0.21609999999999996
SME_00718,0,52.69,0.5268999999999999
SME_00719,0,47.03,0.47030000000000005
SME_00720,0,49.98,0.4998
SME_00721,0,36.62,0.36619999999999997
SME_00722,0,60.36,0.6036
SME_00723,0,30.25,0.3025
SME_00724,0,46.84,0.46840000000000004
SME_00725,0,24.33,0.24329999999999996
SME_00726,1,50.77,0.5077
SME_00727,0,25.85,0.25849999999999995
SME_00728,0,46.85,0.4685
SME_00729,0,51.2,0.512
SME_00730,0,37.6,0.376
SME_00731,0,45.63,0.45630000000000004
SME_00732,0,40.69,0.40690000000000004
SME_00733,1,68.79,0.6879
SME_00734,0,48.35,0.48350000000000004
SME_00735,0,47.47,0.4747
