businessID,businessName,sector,sizeClass,yearsInBusiness,employees,annualRevenue,annualIncome,loanAmount,loanDuration,creditScore,defaultProbability,riskScore,debtToIncomeRatio,debtToEquityRatio,currentRatio,cashFlowStability,revenueVolatility,latePayments,anomalyFlag,fraudFlag,readinessScore,readinessTier,esgScoreE,esgScoreS,esgScoreG,esgComposite,esgTier,qfintrustComposite,loanDecision,registrationDate
SME_00020,Nova FleetServices Ventures,Logistics,Small,9,15,1023239.52,189108.6,511619.76,36,683,0.3034,30.34,2.705,1.27,2.03,0.52,0.422,0,0,0,54.6,B,64.14,71.27,78.4,71.27,A,62.94,APPROVE,2026-06-10
SME_00021,Alpha Clinic Partners,Healthcare,Micro,4,8,1106005.56,169720.56,553002.78,12,737,0.20609999999999995,20.61,3.258,0.67,2.64,0.82,0.087,0,1,0,46.8,C,64.91,72.12,79.33,72.12,A,59.46,APPROVE,2026-06-10
SME_00022,Future FarmInputs Hub,AgriTech,Medium,4,6,337273.44,35078.52,168636.72,24,463,0.7044,70.44,4.807,3.9,1.21,0.1,0.256,1,1,1,32.61,C,33.44,37.15,40.87,37.15,C,34.88,FRAUD REVIEW,2026-06-10
SME_00023,Green Accessories Agro,Textile,Medium,14,13,1302623.04,388455.96,651311.52,60,778,0.13029999999999997,13.03,1.677,0.15,3.0,1.0,0.48,0,1,0,71.58,A,80.19,89.1,98.01,89.1,A,80.34,APPROVE,2026-06-10
SME_00024,Trust Dyeing Ventures,Textile,Medium,2,10,978484.8,451.8,489242.4,12,486,0.6626000000000001,66.26,9.9,3.35,1.0,0.0,0.151,2,0,1,48.26,C,49.04,54.49,59.94,54.49,B,51.38,FRAUD REVIEW,2026-06-10
SME_00025,Smart LendingTech Hub,FinTech,Micro,3,4,625360.32,133534.68,312680.16,48,743,0.19479999999999997,19.48,2.342,0.68,2.25,0.63,0.426,0,0,1,77.3,A,67.01,74.45,81.9,74.45,A,75.88,FRAUD REVIEW,2026-06-10
SME_00026,Urban Plastic Agro,Manufacturing,Medium,13,7,921713.04,243558.12,460856.52,36,611,0.4346,43.46,1.892,2.12,2.07,0.54,0.071,1,1,1,37.01,C,52.16,57.95,63.75,57.95,B,47.48,FRAUD REVIEW,2026-06-10
SME_00027,Bright Restaurant Textiles,Food,Medium,8,9,865898.52,177411.36,432949.26,24,556,0.5343,53.43,2.44,2.62,1.87,0.44,0.324,1,0,0,44.07,C,45.46,50.51,55.56,50.51,B,47.29,CONDITIONAL REVIEW,2026-06-10
SME_00028,Secure Grocery Mart,Retail,Micro,1,7,228488.16,14507.28,114244.08,48,496,0.6436,64.36,7.875,2.86,1.35,0.18,0.236,1,1,1,41.29,C,46.91,52.12,57.33,52.12,B,46.7,FRAUD REVIEW,2026-06-10
SME_00029,Green Fashion Hub,Retail,Medium,6,22,1604833.2,101136.48,802416.6,60,583,0.4857,48.57,7.934,2.35,1.78,0.39,0.108,1,0,0,41.08,C,53.08,58.98,64.88,58.98,B,50.03,CONDITIONAL REVIEW,2026-06-10
SME_00030,Trust Clinic Agro,Healthcare,Small,8,12,911982.12,119123.52,455991.06,60,736,0.20699999999999996,20.7,3.828,1.36,2.58,0.79,0.236,0,0,0,61.59,B,70.95,78.83,86.71,78.83,A,70.21,APPROVE,2026-06-10
SME_00031,Urban HealthServices Mart,Healthcare,Small,4,21,1159015.68,259989.12,579507.84,12,708,0.2582,25.82,2.229,1.71,2.36,0.68,0.591,0,1,0,81.03,A,65.49,72.77,80.05,72.77,A,76.9,APPROVE,2026-06-10
SME_00032,Fresh Garments Logistics,Textile,Micro,8,11,468077.28,96906.6,234038.64,24,700,0.272,27.2,2.415,1.29,2.6,0.8,0.286,0,0,0,61.53,B,65.07,72.3,79.53,72.3,A,66.91,APPROVE,2026-06-10
SME_00033,Golden ColdStorage Foods,AgriTech,Small,9,9,281015.88,28900.8,140507.94,48,469,0.6921999999999999,69.22,4.862,3.03,1.0,0.0,0.234,2,1,0,30.12,C,40.58,45.09,49.6,45.09,C,37.61,REJECT,2026-06-10
SME_00034,Bright ColdStorage Digital,AgriTech,Micro,4,5,362955.72,54094.92,181477.86,60,682,0.3063,30.63,3.355,1.05,2.65,0.83,0.6,0,1,0,64.41,B,64.35,71.5,78.65,71.5,A,67.95,APPROVE,2026-06-10
SME_00035,Bright ProcessedFood Textiles,Food,Micro,12,9,1503834.36,10461.24,751917.18,36,578,0.494,49.4,9.9,1.91,1.33,0.17,0.112,1,1,0,50.58,B,59.39,65.99,72.59,65.99,B,58.28,CONDITIONAL REVIEW,2026-06-10
SME_00036,Secure LightManufacturing Works,Manufacturing,Micro,7,9,690663.6,102327.0,345331.8,60,730,0.21850000000000003,21.85,3.375,0.69,2.2,0.6,0.426,0,0,0,80.22,A,66.9,74.33,81.76,74.33,A,77.28,APPROVE,2026-06-10
SME_00037,Smart HomeGoods Studio,Retail,Growth,14,4,359383.68,70874.04,179691.84,48,695,0.28200000000000003,28.2,2.535,1.23,2.38,0.69,0.327,0,0,0,57.87,B,60.75,67.5,74.25,67.5,B,62.69,APPROVE,2026-06-10
SME_00038,Blue Bakery Partners,Food,Small,1,7,463880.4,108489.48,231940.2,24,695,0.28180000000000005,28.18,2.138,1.14,2.31,0.65,0.26,0,0,0,51.06,B,59.63,66.26,72.89,66.26,B,58.66,APPROVE,2026-06-10
SME_00039,Fresh Packaging Foods,Manufacturing,Small,5,7,991833.24,106408.08,495916.62,36,582,0.487,48.7,4.661,2.49,1.51,0.25,0.206,1,0,0,51.03,B,50.98,56.65,62.32,56.65,B,53.84,CONDITIONAL REVIEW,2026-06-10
SME_00040,Green Delivery Mart,Logistics,Small,10,12,2029919.88,234334.08,1014959.94,24,667,0.33309999999999995,33.31,4.331,0.68,2.25,0.62,0.196,0,0,0,49.05,C,63.86,70.96,78.06,70.96,A,60.0,APPROVE,2026-06-10
SME_00041,Future ProcessedFood Textiles,Food,Growth,13,12,1369274.4,189179.28,684637.2,24,636,0.38939999999999997,38.94,3.619,1.9,1.83,0.42,0.507,0,1,0,68.1,B,59.8,66.44,73.08,66.44,B,67.27,CONDITIONAL REVIEW,2026-06-10
SME_00042,Prime LendingTech Logistics,FinTech,Small,3,6,722836.68,179969.16,361418.34,60,624,0.41000000000000003,41.0,2.008,2.31,2.19,0.59,0.411,1,1,0,74.2,A,56.17,62.41,68.65,62.41,B,68.31,CONDITIONAL REVIEW,2026-06-10
SME_00043,Alpha Diagnostics Hub,Healthcare,Growth,14,12,1589197.2,357243.48,794598.6,24,705,0.2633,26.33,2.224,1.27,2.4,0.7,0.532,0,0,0,75.67,A,63.16,70.18,77.2,70.18,A,72.93,APPROVE,2026-06-10
SME_00044,Prime AgroProcessing Mart,AgriTech,Small,3,8,421520.64,46140.84,210760.32,60,489,0.6572,65.72,4.568,2.7,1.63,0.32,0.2,1,0,0,40.59,C,40.46,44.96,49.46,44.96,C,42.78,REJECT,2026-06-10
SME_00045,Golden Payments Partners,FinTech,Micro,6,3,462510.72,182460.6,231255.36,48,786,0.11570000000000003,11.57,1.267,0.0,3.0,1.0,0.401,0,1,0,64.74,B,70.07,77.86,85.65,77.86,A,71.3,APPROVE,2026-06-10
SME_00046,Urban AccountingTech Digital,FinTech,Small,5,7,609660.48,169742.4,304830.24,12,795,0.09930000000000005,9.93,1.796,0.0,3.0,1.0,0.415,0,1,0,80.18,A,72.47,80.52,88.57,80.52,A,80.35,APPROVE,2026-06-10
SME_00047,Smart ColdStorage Care,AgriTech,Small,6,17,432053.28,26221.08,216026.64,60,558,0.5307,53.07,8.239,1.87,1.46,0.23,0.15,1,0,1,42.44,C,53.12,59.02,64.92,59.02,B,50.73,FRAUD REVIEW,2026-06-10
SME_00048,Green LightManufacturing Studio,Manufacturing,Medium,13,3,729223.92,6642.0,364611.96,48,530,0.5813999999999999,58.14,9.9,2.44,1.32,0.16,0.577,1,0,1,56.53,B,48.82,54.24,59.66,54.24,B,55.39,FRAUD REVIEW,2026-06-10
SME_00049,Ever Diagnostics Logistics,Healthcare,Medium,11,10,1635399.48,424373.52,817699.74,48,747,0.1874,18.74,1.927,0.25,2.57,0.79,0.426,0,0,0,58.32,B,67.55,75.05,82.56,75.05,A,66.69,APPROVE,2026-06-10
SME_00050,Golden Fashion Traders,Retail,Small,12,23,761284.44,98446.44,380642.22,60,744,0.1935,19.35,3.866,1.16,2.36,0.68,0.301,0,0,0,71.28,A,74.75,83.05,91.36,83.05,A,77.16,APPROVE,2026-06-10
SME_00051,Urban Packaging Traders,Manufacturing,Growth,4,6,640220.76,21051.84,320110.38,12,495,0.646,64.6,9.9,2.66,1.26,0.13,0.304,2,0,1,32.64,C,42.58,47.31,52.04,47.31,C,39.98,FRAUD REVIEW,2026-06-10
SME_00052,Vertex Grocery Foods,Retail,Small,14,9,812204.76,127492.44,406102.38,12,701,0.2702,27.02,3.185,1.02,2.49,0.74,0.289,0,0,0,57.11,B,63.8,70.89,77.98,70.89,A,64.0,APPROVE,2026-06-10
SME_00053,Future SMEFinance Care,FinTech,Micro,6,4,331448.4,98471.88,165724.2,24,679,0.3114,31.14,1.683,1.33,2.96,0.98,0.36,0,0,0,59.62,B,58.41,64.9,71.39,64.9,B,62.26,APPROVE,2026-06-10
SME_00054,Bright FleetServices Mart,Logistics,Small,9,24,1040718.0,256376.76,520359.0,60,677,0.31499999999999995,31.5,2.03,1.8,2.54,0.77,0.308,1,0,0,63.3,B,62.58,69.53,76.48,69.53,B,66.41,APPROVE,2026-06-10
SME_00055,Nova Diagnostics Studio,Healthcare,Micro,10,9,2002600.2,297761.28,1001300.1,36,598,0.4585,45.85,3.363,2.04,2.17,0.59,0.219,1,0,0,46.78,C,55.63,61.81,67.99,61.81,B,54.3,CONDITIONAL REVIEW,2026-06-10
SME_00056,Secure LendingTech Digital,FinTech,Medium,10,9,1293861.0,333663.48,646930.5,24,787,0.11539999999999995,11.54,1.939,0.0,2.86,0.93,0.348,0,0,0,77.34,A,73.77,81.97,90.17,81.97,A,79.66,APPROVE,2026-06-10
SME_00057,Trust ProcessedFood Hub,Food,Micro,9,20,578253.72,60688.32,289126.86,12,507,0.6239,62.39,4.764,3.42,1.71,0.36,0.206,1,0,0,37.12,C,31.45,34.94,38.43,34.94,C,36.03,REJECT,2026-06-10
SME_00058,Ever Restaurant Works,Food,Small,7,13,758532.36,13484.64,379266.18,60,558,0.5306,53.06,9.9,2.78,1.38,0.19,0.297,1,0,1,58.77,B,50.18,55.76,61.34,55.76,B,57.27,FRAUD REVIEW,2026-06-10
SME_00059,Ever Grocery Foods,Retail,Small,9,5,524910.84,57203.64,262455.42,48,546,0.5526,55.26,4.588,2.07,1.85,0.42,0.145,1,0,0,38.25,C,48.82,54.24,59.66,54.24,B,46.25,CONDITIONAL REVIEW,2026-06-10
SME_00060,Future Fashion Digital,Retail,Micro,13,6,181309.68,51643.08,90654.84,48,750,0.1815,18.15,1.755,0.97,2.95,0.97,0.562,0,0,0,76.2,A,72.45,80.5,88.55,80.5,A,78.35,APPROVE,2026-06-10
SME_00061,Nova Warehousing Partners,Logistics,Micro,6,12,938563.68,191060.28,469281.84,48,697,0.2782,27.82,2.456,1.48,2.42,0.71,0.334,0,0,0,68.84,B,62.43,69.37,76.31,69.37,B,69.11,APPROVE,2026-06-10
SME_00062,Ever Restaurant Partners,Food,Medium,7,6,434045.64,53647.44,217022.82,60,612,0.4326,43.26,4.045,1.53,1.9,0.45,0.265,1,0,0,40.95,C,51.86,57.62,63.38,57.62,B,49.28,CONDITIONAL REVIEW,2026-06-10
SME_00063,Vertex Restaurant Foods,Food,Micro,3,3,141249.24,28652.16,70624.62,36,742,0.1965,19.65,2.465,0.75,2.61,0.8,0.247,0,0,0,68.16,B,72.71,80.79,88.87,80.79,A,74.47,APPROVE,2026-06-10
SME_00064,Ever HealthServices Digital,Healthcare,Small,5,9,956148.12,170764.08,478074.06,36,719,0.23829999999999996,23.83,2.8,1.04,2.6,0.8,0.54,0,1,0,75.09,A,65.92,73.24,80.56,73.24,A,74.16,APPROVE,2026-06-10
SME_00065,Fresh SupplyChain Partners,Logistics,Small,11,4,464817.36,25023.72,232408.68,12,614,0.42889999999999995,42.89,9.288,1.64,1.75,0.38,0.298,1,0,1,50.34,B,59.16,65.73,72.3,65.73,B,58.04,FRAUD REVIEW,2026-06-10
SME_00066,Prime ProcessedFood Agro,Food,Micro,9,24,979976.76,227907.24,489988.38,36,674,0.32020000000000004,32.02,2.15,1.1,2.38,0.69,0.203,0,0,1,62.9,B,63.88,70.98,78.08,70.98,A,66.94,FRAUD REVIEW,2026-06-10
SME_00067,Secure Restaurant Digital,Food,Micro,3,10,484925.04,63215.76,242462.52,36,617,0.4232,42.32,3.835,1.87,1.79,0.4,0.293,1,0,0,47.43,C,55.82,62.02,68.22,62.02,B,54.73,CONDITIONAL REVIEW,2026-06-10
SME_00068,Urban MetalWorks Agro,Manufacturing,Medium,8,5,434738.52,5922.48,217369.26,24,503,0.6314,63.14,9.9,2.84,1.33,0.16,0.236,1,0,0,35.7,C,33.36,37.07,40.78,37.07,C,36.39,REJECT,2026-06-10
SME_00069,Smart Fashion Traders,Retail,Growth,12,6,243569.64,68479.68,121784.82,36,725,0.2268,22.68,1.778,0.93,2.68,0.84,0.194,0,0,0,55.97,B,68.24,75.82,83.4,75.82,A,65.89,APPROVE,2026-06-10
SME_00070,Bright Restaurant Digital,Food,Micro,2,3,181682.76,13874.4,90841.38,36,502,0.6329,63.29,6.547,2.81,1.3,0.15,0.458,2,1,0,41.87,C,41.45,46.05,50.66,46.05,C,43.96,REJECT,2026-06-10
SME_00071,Golden LightManufacturing Partners,Manufacturing,Growth,1,5,698213.4,71684.88,349106.7,24,680,0.3094,30.94,4.87,0.91,2.19,0.59,0.323,0,0,0,58.64,B,57.67,64.08,70.49,64.08,B,61.36,APPROVE,2026-06-10
SME_00072,Trust ColdStorage Solutions,AgriTech,Small,6,17,568113.72,50698.8,284056.86,60,640,0.38270000000000004,38.27,5.603,1.25,2.09,0.55,0.48,1,0,0,59.95,B,63.64,70.71,77.78,70.71,A,65.33,CONDITIONAL REVIEW,2026-06-10
SME_00073,Alpha Accessories Agro,Textile,Medium,10,34,1227095.4,115806.24,613547.7,12,666,0.33409999999999995,33.41,5.298,1.59,2.08,0.54,0.517,0,0,0,58.26,B,67.05,74.5,81.95,74.5,A,66.38,APPROVE,2026-06-10
SME_00074,Nova MetalWorks Partners,Manufacturing,Medium,5,14,650178.72,28549.44,325089.36,12,530,0.5811,58.11,9.9,2.49,1.55,0.27,0.149,1,0,1,37.78,C,47.9,53.22,58.54,53.22,B,45.5,FRAUD REVIEW,2026-06-10
SME_00075,Ever Fashion Hub,Retail,Medium,12,9,477711.12,112703.28,238855.56,48,719,0.23829999999999996,23.83,2.119,1.2,2.47,0.73,0.25,0,0,0,68.62,B,67.8,75.33,82.86,75.33,A,71.97,APPROVE,2026-06-10
SME_00076,Smart Plastic Agro,Manufacturing,Medium,12,7,1020137.28,58704.36,510068.64,48,596,0.46140000000000003,46.14,8.689,2.19,1.73,0.37,0.333,1,0,1,39.57,C,51.46,57.18,62.9,57.18,B,48.38,FRAUD REVIEW,2026-06-10
SME_00077,Bright MetalWorks Traders,Manufacturing,Small,8,5,737248.68,257807.4,368624.34,48,775,0.13560000000000005,13.56,1.43,0.0,3.0,1.0,0.374,0,0,0,72.17,A,72.23,80.26,88.29,80.26,A,76.22,APPROVE,2026-06-10
SME_00078,Alpha Warehousing Traders,Logistics,Small,5,31,1171314.48,282208.56,585657.24,24,709,0.2562,25.62,2.075,1.13,2.48,0.74,0.289,0,0,0,74.41,A,69.77,77.52,85.27,77.52,A,75.97,APPROVE,2026-06-10
SME_00079,Future Beverage Works,Food,Small,1,8,182400.72,-1390.68,91200.36,48,449,0.7291000000000001,72.91,9.9,3.19,1.0,0.0,0.165,1,1,1,24.44,D,32.36,35.96,39.56,35.96,C,30.2,FRAUD REVIEW,2026-06-10
SME_00080,Smart SMEFinance Ventures,FinTech,Micro,12,32,1552938.24,389226.96,776469.12,48,727,0.22360000000000002,22.36,1.995,0.92,2.68,0.84,0.312,0,0,1,52.9,B,63.1,70.11,77.12,70.11,A,61.5,FRAUD REVIEW,2026-06-10
SME_00081,Ever SupplyChain Ventures,Logistics,Medium,13,21,1119281.88,183054.36,559640.94,24,706,0.26160000000000005,26.16,3.057,1.17,2.11,0.56,0.37,0,0,0,78.85,A,71.42,79.36,87.3,79.36,A,79.1,APPROVE,2026-06-10
SME_00082,Future FarmInputs Agro,AgriTech,Micro,6,3,132956.52,13164.6,66478.26,36,559,0.5299,52.99,5.05,2.23,1.44,0.22,0.332,1,0,0,41.6,C,48.41,53.79,59.17,53.79,B,47.7,CONDITIONAL REVIEW,2026-06-10
SME_00083,Nova LendingTech Textiles,FinTech,Micro,7,6,714595.2,99181.92,357297.6,12,740,0.1996,19.96,3.602,0.41,2.52,0.76,0.283,0,0,0,53.91,B,66.18,73.53,80.88,73.53,A,63.72,APPROVE,2026-06-10
SME_00084,Golden Electronics Traders,Retail,Micro,11,6,529562.28,123609.36,264781.14,36,738,0.20279999999999998,20.28,2.142,1.05,3.0,1.0,0.418,0,0,0,64.94,B,58.92,65.47,72.02,65.47,B,65.2,APPROVE,2026-06-10
SME_00085,Urban Electronics Agro,Retail,Micro,10,9,486803.04,99726.0,243401.52,24,682,0.30600000000000005,30.6,2.441,0.83,2.45,0.73,0.302,0,0,0,46.81,C,58.96,65.51,72.06,65.51,B,56.16,APPROVE,2026-06-10
SME_00086,Rapid Grocery Digital,Retail,Small,2,9,569659.32,58325.04,284829.66,60,654,0.35640000000000005,35.64,4.883,1.61,2.17,0.59,0.161,0,0,0,48.3,C,60.29,66.99,73.69,66.99,B,57.64,CONDITIONAL REVIEW,2026-06-10
SME_00087,Smart HealthServices Textiles,Healthcare,Small,10,54,1155838.44,287358.6,577919.22,36,727,0.22419999999999995,22.42,2.011,0.93,2.8,0.9,0.383,0,0,0,65.12,B,70.91,78.79,86.67,78.79,A,71.96,APPROVE,2026-06-10
SME_00088,Alpha Beverage Solutions,Food,Small,13,5,417028.32,48275.28,208514.16,24,675,0.3173,31.73,4.319,1.49,1.99,0.5,0.281,1,0,0,63.8,B,65.07,72.3,79.53,72.3,A,68.05,APPROVE,2026-06-10
SME_00089,Smart Grocery Solutions,Retail,Micro,11,10,285351.84,52361.52,142675.92,24,710,0.2541,25.41,2.725,0.86,2.39,0.7,0.196,0,0,0,65.42,B,67.3,74.78,82.26,74.78,A,70.1,APPROVE,2026-06-10
SME_00090,Fresh Restaurant Mart,Food,Small,7,13,677219.64,94380.72,338609.82,60,699,0.27449999999999997,27.45,3.588,0.72,2.2,0.6,0.508,0,0,0,70.73,A,69.16,76.84,84.52,76.84,A,73.78,APPROVE,2026-06-10
SME_00091,Golden Electronics Foods,Retail,Small,8,9,342714.6,88921.08,171357.3,36,717,0.241,24.1,1.927,0.99,2.42,0.71,0.312,0,0,0,71.86,A,71.37,79.3,87.23,79.3,A,75.58,APPROVE,2026-06-10
SME_00092,Urban HealthServices Enterprises,Healthcare,Medium,4,10,1512139.44,307653.36,756069.72,24,584,0.484,48.4,2.458,2.12,1.75,0.37,0.197,1,0,1,38.75,C,51.2,56.89,62.58,56.89,B,47.82,FRAUD REVIEW,2026-06-10
SME_00093,Smart Bakery Foods,Food,Small,10,5,492322.56,155574.24,246161.28,12,702,0.269,26.9,1.582,1.2,2.97,0.99,0.52,0,1,0,54.25,B,58.12,64.58,71.04,64.58,B,59.41,APPROVE,2026-06-10
SME_00094,Ever AgroProcessing Textiles,AgriTech,Small,4,10,554337.24,15801.36,277168.62,48,552,0.5418000000000001,54.18,9.9,3.05,1.59,0.29,0.382,1,0,0,56.93,B,53.96,59.95,65.95,59.95,B,58.44,CONDITIONAL REVIEW,2026-06-10
SME_00095,Urban LightManufacturing Mart,Manufacturing,Small,5,12,758462.52,207529.32,379231.26,12,757,0.1694,16.94,1.827,0.79,2.81,0.91,0.366,0,0,0,67.62,B,73.16,81.29,89.42,81.29,A,74.46,APPROVE,2026-06-10
SME_00096,Future Warehousing Textiles,Logistics,Growth,4,11,534226.92,57454.56,267113.46,36,649,0.3657,36.57,4.649,1.23,2.05,0.53,0.153,1,1,0,46.14,C,60.15,66.83,73.51,66.83,B,56.48,CONDITIONAL REVIEW,2026-06-10
SME_00097,Alpha FarmInputs Textiles,AgriTech,Medium,5,13,334802.52,34951.8,167401.26,60,561,0.5251,52.51,4.789,2.86,1.73,0.36,0.269,1,0,0,58.36,B,52.44,58.27,64.1,58.27,B,58.31,CONDITIONAL REVIEW,2026-06-10
SME_00098,Smart HomeGoods Agro,Retail,Small,5,21,749155.08,83190.84,374577.54,60,621,0.4165,41.65,4.503,1.76,1.83,0.41,0.216,1,0,0,62.22,B,59.69,66.32,72.95,66.32,B,64.27,CONDITIONAL REVIEW,2026-06-10
SME_00099,Future Fashion Foods,Retail,Small,1,16,1053164.88,125739.6,526582.44,12,616,0.4253,42.53,4.188,1.91,1.84,0.42,0.312,0,0,0,54.03,B,55.31,61.46,67.61,61.46,B,57.75,CONDITIONAL REVIEW,2026-06-10
SME_00100,Trust Accessories Solutions,Textile,Micro,10,9,836722.92,9773.4,418361.46,12,628,0.40280000000000005,40.28,9.9,2.07,1.38,0.19,0.306,1,0,0,71.86,A,64.7,71.89,79.08,71.89,A,71.88,CONDITIONAL REVIEW,2026-06-10
SME_00101,Fresh Accessories Agro,Textile,Growth,6,4,342629.88,23935.8,171314.94,36,584,0.4831,48.31,7.157,1.98,1.89,0.44,0.147,1,0,1,50.57,B,53.28,59.2,65.12,59.2,B,54.89,FRAUD REVIEW,2026-06-10
SME_00102,Future HealthServices Studio,Healthcare,Small,14,6,791808.72,105664.56,395904.36,24,624,0.41180000000000005,41.18,3.747,1.62,2.11,0.55,0.165,1,0,0,50.34,B,53.89,59.88,65.87,59.88,B,55.11,CONDITIONAL REVIEW,2026-06-10
SME_00103,Rapid MetalWorks Logistics,Manufacturing,Micro,3,8,706258.44,20836.92,353129.22,36,601,0.4526,45.26,9.9,1.81,1.54,0.27,0.164,0,0,1,46.89,C,51.92,57.69,63.46,57.69,B,52.29,FRAUD REVIEW,2026-06-10
SME_00104,Vertex Garments Agro,Textile,Growth,10,11,1514575.68,198810.6,757287.84,36,609,0.43879999999999997,43.88,3.809,2.12,1.45,0.22,0.139,1,0,1,41.3,C,51.98,57.76,63.54,57.76,B,49.53,FRAUD REVIEW,2026-06-10
